,Embedding,Method,Time,Dimension,Window,Word count,Sampling,Cross-sentence,Epochs,Dataset,Out of vocabulary,Low bin lower bound,Low bin upper bound,Mid bin lower bound,Mid bin upper bound,High bin lower bound,High bin upper bound,Low bin score,Low bin pair count,Middle bin score,Middle bin pair count,High bin score,High bin pair count,Mixed bin score,Mixed bin pair count,General score
41,w2v,CBOW,2020-05-06 02:55:28.707223,300,10,1000000,hs,No,100,WS353,14,1,17,17,59,60,895,0.5122248390686557,29,-0.02809483084557957,19,0.5635151390275127,26,0.39837669971496825,129,0.4064945485806132
42,w2v,CBOW,2020-05-06 03:01:59.760205,100,2,5000000,hs,No,100,MEN,28,1,29,29,137,138,6911,0.19203533036440582,386,0.4669274970542421,311,0.6499391756629974,356,0.4376419578406719,1947,0.43848770518200947
43,w2v,CBOW,2020-05-06 03:02:00.916580,100,2,5000000,hs,No,100,MTurk,76,1,47,47,172,177,3152,-0.0640165289234177,18,-0.043005442723245864,23,0.6612220340126819,31,0.43833277028409323,215,0.4111398373949869
44,w2v,CBOW,2020-05-06 03:02:02.030207,100,2,5000000,hs,No,100,RG65,1,1,10,11,92,93,747,-0.49999999999999994,5,0.19047619047619052,8,0.5,7,0.20633875020507403,45,0.18491968161582664
45,w2v,CBOW,2020-05-06 03:02:03.265510,100,2,5000000,hs,No,100,RW,852,1,7,7,64,64,4471,0.23011130710776573,99,0.34325764778677587,121,0.45971723157315386,92,0.15726894686807105,1722,0.18160059053721295
46,w2v,CBOW,2020-05-06 03:02:04.421890,100,2,5000000,hs,No,100,SimLex-999,6,1,41,41,162,164,3980,-0.041748541818211096,102,0.1930525547241123,101,0.07078765537637147,179,0.1999390084401829,617,0.1263756959723316
47,w2v,CBOW,2020-05-06 03:02:05.969147,100,2,5000000,hs,No,100,TR9856,1740,1,41,41,207,208,3173,0.18242384254534544,150,0.5848553710971415,102,0.6123095625507038,179,0.06845133692201445,9425,0.07312402392642386
48,w2v,CBOW,2020-05-06 03:02:07.125448,100,2,5000000,hs,No,100,WS353,3,1,83,83,319,320,5137,-0.09577135216446599,33,0.7745162174831163,24,0.7002906582089479,26,0.5592508744717016,120,0.41952891853423174
49,w2v,CBOW,2020-05-06 03:08:03.266948,100,5,5000000,hs,No,100,MEN,28,1,29,29,137,138,6911,0.23229774948988174,386,0.46632944614759314,311,0.6105916251654783,356,0.4266293518865719,1947,0.43182584213875624
50,w2v,CBOW,2020-05-06 03:08:04.407691,100,5,5000000,hs,No,100,MTurk,76,1,47,47,172,177,3152,0.2250903758920171,18,0.10627781822411335,23,0.6190764392860424,31,0.46288377063279695,215,0.44946966159252427
51,w2v,CBOW,2020-05-06 03:08:05.525315,100,5,5000000,hs,No,100,RG65,1,1,10,11,92,93,747,-0.7,5,-0.14285714285714288,8,0.5,7,0.29048199913110934,45,0.22071904794211478
52,w2v,CBOW,2020-05-06 03:08:06.791181,100,5,5000000,hs,No,100,RW,852,1,7,7,64,64,4471,0.2338272987380866,99,0.2632646931352716,121,0.45808333908386645,92,0.11923623376151316,1722,0.15064166706330975
53,w2v,CBOW,2020-05-06 03:08:07.964333,100,5,5000000,hs,No,100,SimLex-999,6,1,41,41,162,164,3980,-0.008719524784461806,102,0.2270267756233655,101,0.06257280974867946,179,0.18134595863711803,617,0.11630039172071818
54,w2v,CBOW,2020-05-06 03:08:09.573709,100,5,5000000,hs,No,100,TR9856,1740,1,41,41,207,208,3173,0.21320361623783463,150,0.5839941910442842,102,0.6095803063274511,179,0.07899933232886333,9425,0.08672893808035637
55,w2v,CBOW,2020-05-06 03:08:10.698768,100,5,5000000,hs,No,100,WS353,3,1,83,83,319,320,5137,0.187029918101287,33,0.7762557261130614,24,0.625406061457112,26,0.5090845329814275,120,0.4482345197305984
56,w2v,CBOW,2020-05-06 03:14:24.187989,100,10,5000000,hs,No,100,MEN,28,1,29,29,137,138,6911,0.17713300436883236,386,0.43183166682171337,311,0.602174033669975,356,0.42385288433168106,1947,0.41960624760163107
57,w2v,CBOW,2020-05-06 03:14:25.317790,100,10,5000000,hs,No,100,MTurk,76,1,47,47,172,177,3152,0.30046467607604116,18,0.24073161616345673,23,0.6194797464126133,31,0.4633669153803853,215,0.46890214220471255
58,w2v,CBOW,2020-05-06 03:14:26.427465,100,10,5000000,hs,No,100,RG65,1,1,10,11,92,93,747,0.39999999999999997,5,0.261904761904762,8,0.25,7,0.16028069930507508,45,0.21007540239821837
59,w2v,CBOW,2020-05-06 03:14:27.662113,100,10,5000000,hs,No,100,RW,852,1,7,7,64,64,4471,0.21788687432389275,99,0.2545316603118797,121,0.4141917460343751,92,0.08530258998000598,1722,0.1165516288432215
